variable_name,display_label,concept_domain,source_type,source_reference,mimic_table_field,eicu_table_field,window,unit,included_in_final_model,status
ckm_stage_adapted,Adapted CKM stage (ordinal),exposure,project_spec,Current study protocol based on AHA framework,derived,derived,pre-index and early hospitalization evidence,ordinal,True,operational_proxy
age,Age,demographic,official_database_doc,MIMIC-IV patients and eICU patient table docs,patients.anchor_age,patient.age,index stay,years,True,direct_from_official_definition
sex,Female sex,demographic,official_database_doc,MIMIC-IV patients and eICU patient table docs,patients.gender,patient.gender,index stay,categorical,True,direct_from_official_definition
bmi_or_proxy,BMI or proxy,adiposity,official_definition_plus_proxy,AHA CKM advisory plus official database docs,omr.result_name='BMI (kg/m2)',patient.admissionweight plus patient.admissionheight,closest value before index admission,kg_per_m2,True,operational_proxy
hypertension_flag,Hypertension,metabolic_risk,official_definition_plus_proxy,AHA CKM advisory,diagnoses_icd plus d_icd_diagnoses text,diagnosis plus admissiondx text,pre-index and admission,binary,True,operational_proxy
diabetes_flag,Diabetes,metabolic_risk,official_definition_plus_proxy,AHA CKM advisory,diagnoses_icd plus diagnosis title,diagnosis plus admissiondx text,pre-index and admission,binary,True,operational_proxy
hyperlipidemia_flag,Hyperlipidemia,metabolic_risk,official_definition_plus_proxy,AHA CKM advisory,diagnoses_icd plus diagnosis title,diagnosis plus admissiondx text,pre-index and admission,binary,True,operational_proxy
renal_history_flag,Renal history,kidney,official_definition_plus_proxy,AHA CKM advisory,diagnoses_icd plus diagnosis title,diagnosis or pasthistory renal text,pre-index and admission,binary,True,operational_proxy
baseline_creatinine,Baseline creatinine,kidney,official_database_doc,MIMIC derived tables and eICU lab table docs,mimiciv_derived.first_day_lab.creatinine_min,lab.labname='creatinine',-24h to +24h from index ICU,mg_per_dL,True,operational_proxy
glucose,Glucose,metabolic_risk,official_database_doc,MIMIC derived tables and eICU lab table docs,mimiciv_derived.first_day_lab.glucose_min or glucose_max,lab.labname in glucose bedside glucose,-24h to +24h from index ICU,mg_per_dL,True,operational_proxy
sbp,Systolic blood pressure,hemodynamic,official_database_doc,MIMIC derived vitals and eICU vital tables,mimiciv_derived.first_day_vitalsign.sbp_mean or min or max,vitalperiodic.systemicsystolic or vitalaperiodic.noninvasivesystolic,-6h to +6h from index ICU,mmHg,True,operational_proxy
hf_flag,Heart failure history,antecedent_cvd,official_definition_plus_proxy,AHA CKM stage 4 clinical CVD concepts,diagnoses_icd plus diagnosis title,diagnosis plus admissiondx text,pre-index and admission,binary,True,operational_proxy
af_flag,Atrial fibrillation history,antecedent_cvd,official_definition_plus_proxy,AHA CKM stage 4 clinical CVD concepts,diagnoses_icd plus diagnosis title,diagnosis plus admissiondx text,pre-index and admission,binary,True,operational_proxy
stroke_pad_flag,Stroke or PAD history,antecedent_cvd,official_definition_plus_proxy,AHA CKM stage 4 clinical CVD concepts,diagnoses_icd plus diagnosis title,diagnosis plus admissiondx text,pre-index and admission,binary,True,operational_proxy
