feature,beta,odds_ratio,ci_low,ci_high,p_value
af_flag,0.217213047868628,1.2426088090974523,1.0691939343891823,1.4441502170779728,0.0046202584044115
age,0.0262212771894898,1.0265680794425032,1.020599379614267,1.0325716855996585,1.2138758107044957e-18
baseline_creatinine,0.2018922994638015,1.223716206122359,1.1709898287888956,1.2788167038780176,2.6001033421421853e-19
bmi_or_proxy,-0.0015717896874957,0.9984294449269788,0.9895368027798744,1.0074020023274972,0.7305903977103894
ckm_stage_adapted,-0.1027594488082412,0.9023440073029309,0.7950143709077989,1.0241635086240986,0.111738447442033
diabetes_flag,-0.1725660050919827,0.8415027435126679,0.7214596129796018,0.981519761604962,0.0279849349473668
glucose,0.003054327942417,1.0030589971545651,1.002531314276527,1.00358695777876,5.4847113837630005e-30
hf_flag,0.0224637086721385,1.022717917699686,0.8694811581675763,1.2029610180263322,0.7862076211359684
hyperlipidemia_flag,-0.5664806349574784,0.5675192355507043,0.4938911561680294,0.6521236080009495,1.3497518702516612e-15
hypertension_flag,-0.0878840556340781,0.915867060193082,0.7807828066165224,1.0743224169877204,0.2803949782268746
renal_history_flag,0.047807190778892,1.048968385048022,0.8699814847166168,1.2647794144592313,0.6164914593678341
sbp,-0.0376081260552445,0.9630902769382677,0.958241329499432,0.9679637612975432,2.672160943001253e-48
sex,0.2573693084969031,1.2935227475008155,1.1243464205087683,1.4881544226777832,0.0003196877646361
stroke_pad_flag,0.3964674204129918,1.4865640055444778,1.2628453617961766,1.7499153969550831,1.8948484650402817e-06
